ålder;kön;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
50-54 år;män;69492;72972;75174;76184;80320;83014;85063;86795;91290;92742;92242;94670;98240;102194;104750;108008;108853;107037;105131;105706;103189;100469;101291;103305;104267;105551;107315;106838;103276;100654;100775;100426;101308;102969;105735;105246;104715;103597;103540;104259;106170;108251;108524;109437;110806;111404;111709;114028;117347;118942;121683;122841;124822;125394;125824;126399;129467;128263;123041;120862;120285;120627;123238;129324;133305;137757;140782;145509;148686;152343;153643;155104;155624;157604;160056;163506;167170;171136;174723;175284;176573;179044;180040;182696;186428;191555;196042;200801;205439;209314;213474;218677;223576;227299;232480;235787;239772;244225;250392;256534;260941;263748;266316;267017;265474;262566;260007;257084;253655;251211;261086;266445;267076;268204;267677;256601;247207;240835;235352;229677;225489;222181;220017;215766;213730;212278;213113;215586;221786;229891;236115;243349;256066;271718;289831;308254;324247;332321;334628;330517;323949;314475;306699;300404;294582;291899;293715;294295;293908;295746;295588;295296;297800;304344;315278;327170;338866;347535
50-54 år;kvinnor;80401;84004;86676;87755;91706;94607;96605;97996;102699;104232;104082;105857;109931;113869;117070;120914;122850;120369;118994;119669;117062;113800;114697;116652;117964;119660;122313;122271;118982;116538;116069;115604;117229;119005;121803;121788;120823;119261;119713;120482;121519;123713;124124;124689;126174;126691;127724;130850;134670;136837;140484;141970;144030;144533;145016;145171;147436;145763;140361;136773;134490;134023;135352;140322;143886;147509;149898;154337;157388;161370;163118;165017;166250;168190;170686;173985;178154;182654;186377;187976;190258;192699;193499;196001;199593;203571;206883;210796;214766;217697;221781;226503;231366;234440;238820;241875;245183;248612;253550;258565;260550;262200;263963;263923;262654;260846;258785;256430;253657;250513;260269;266199;267471;268704;269493;258661;249854;243483;238933;233455;229755;226562;224464;219223;216518;213182;213107;214181;219430;225956;231078;236847;247613;261989;278532;296623;312720;322190;326018;323914;318019;309213;301737;294814;289004;286919;287580;288507;288162;289390;289145;289206;290908;296231;306766;317295;327818;335765
55-59 år;män;61830;62767;62674;62146;60362;62006;65311;67204;67376;70727;72107;73971;75771;80053;81911;82633;85271;88775;92690;95418;98134;98376;96537;94605;95155;93354;91254;92366;94299;95135;97046;98513;97943;94838;92588;92216;91913;93023;94869;97277;97838;97405;96427;96568;97225;98152;100181;100452;101348;102826;103917;104169;106331;109282;110931;113181;114421;116560;117205;117830;118810;121723;120351;115815;114014;113029;113353;115982;121775;125640;130271;133217;137870;141037;144710;145878;147181;147451;148880;151333;154683;158748;162853;166382;167117;168642;171017;172120;174762;178703;183104;187153;191922;196086;199941;204425;209435;214187;217864;223089;225736;229726;234012;239749;245692;250536;253228;255903;256296;255028;252473;249964;246733;243286;240548;249739;254795;255578;256706;256167;245444;236631;230614;225528;220370;216363;213352;211512;207823;206251;205203;206224;208841;215102;223242;229486;236566;248786;263940;281241;299477;315614;323983;326816;323031;316538;307289;299924;294055;288996;286697;288780;289475;289530;291556;292291;292812;295905
55-59 år;kvinnor;74455;75334;74898;74041;72109;73815;77134;79472;79979;83349;85501;87301;88873;93319;95133;95714;97782;101876;105909;109187;112281;113677;111090;109681;110030;108239;105395;106642;108555;109743;111234;113612;113356;110551;108421;108290;108070;110009;111988;114427;114111;113209;111626;112026;113020;113956;116093;116608;117249;118771;119347;120369;123323;127106;129326;132668;134312;136265;136514;137034;137082;139120;137242;132526;129330;127457;127115;128363;133040;136412;139969;142050;146591;149383;153399;155445;157310;158225;160497;162798;166161;170422;175020;178884;180684;183199;185858;187049;189608;193098;196995;200042;203869;207607;210722;215033;219590;224567;227929;232339;234935;238335;241752;246622;251750;254168;255974;257872;257762;256992;255435;253406;250805;248020;244729;254041;259992;261618;263102;263853;253345;244823;238551;234257;228891;225339;222322;220421;215571;213226;210154;210218;211351;216672;223453;228737;234263;244668;258368;274127;291704;307783;317539;321612;319655;313944;305568;298338;291851;286358;284742;285657;286711;286505;287752;287903;288606;290709
60-64 år;män;51544;50342;50437;50677;51199;52961;53838;53567;52718;50742;52054;54571;56521;57346;60294;62144;64209;65848;70089;72135;72822;74731;77653;81135;83302;86160;86724;85165;83453;84137;83077;81268;82089;83972;84858;86183;87667;87401;84841;82540;83212;83196;84259;85957;88272;87964;87497;86826;86959;87762;89069;91023;91213;92022;93381;93885;94391;96480;99194;100798;103285;104489;106485;107451;108096;108777;111448;110281;106055;104315;103589;104291;106854;112417;116048;120282;122896;127059;129688;133021;134193;136132;136730;138183;140482;143909;147417;151310;155032;155471;156463;158598;159774;162249;166088;170411;174081;178453;182601;186530;190335;194914;199362;202619;207476;210320;213960;218144;223627;229441;234163;236702;238839;239321;237966;235149;232640;229829;226777;224306;232930;237774;238492;239662;239293;229659;221860;216576;211938;207328;203986;201553;199996;196875;195909;195455;196743;199351;205446;213249;219449;226539;238862;253727;270743;288355;304074;312190;315134;312140;306094;297392;290593;285139;280372;278590;281162;282290
60-64 år;kvinnor;64388;62858;63189;63344;63831;65974;66706;65994;65057;62954;64067;67278;69700;70603;73705;76006;78039;79645;84074;85963;85917;87621;91260;94772;97725;101111;102648;100421;99224;99610;97816;95445;96119;98013;99385;101072;103422;103800;101485;99393;99064;98762;100564;102412;104541;104418;103682;102441;103019;104100;104989;106954;107399;108014;109586;110160;111322;114229;117476;119416;122195;123620;125556;126206;126912;126953;129144;127407;122975;119979;118116;117854;119286;123646;126989;130097;132250;136317;139002;142817;144853;146922;148235;150503;152886;156513;160776;165168;169106;170755;173344;175868;177022;179479;183050;187014;190136;193941;197948;201189;205174;209778;214735;218075;222403;225611;228962;232533;237351;242401;245067;246892;248661;248803;248069;246478;244367;242150;239683;236621;245782;251475;253261;254747;255671;245700;237522;231510;227567;222788;219760;216976;215140;210592;208932;206234;206550;207470;212286;218114;223028;228538;238917;252347;267741;284927;300775;310513;314725;313315;308051;300029;292974;286756;281590;280057;281260;282417
65-69 år;män;40105;40986;41453;41546;41866;41133;40009;39906;39849;40016;41383;42066;42450;42242;40907;42152;44602;46234;47021;50031;51586;53241;54812;57890;59503;60433;62554;65342;68465;70313;73151;73568;71834;70291;70995;70075;68603;69781;71553;72159;74284;75399;75179;73078;71436;71401;71543;72460;73872;76028;76196;75819;75274;75324;76096;77041;78862;79088;79671;81012;81951;82319;84175;86827;88359;90308;91433;93037;93996;94624;95219;97619;96651;92978;91641;91066;91676;93853;98382;101509;105474;108274;112475;115089;118235;119509;121018;121161;122777;124971;127772;131017;134653;137865;138207;139588;141444;142406;144675;148022;151697;155104;159050;162801;165850;169415;173319;177749;180522;184615;187517;190835;194351;199161;204098;208306;210549;212539;213031;211919;209559;207544;205418;202830;200922;209021;213572;214611;216055;216371;208524;201759;197282;193407;189878;187493;185579;184535;181734;180680;180608;182444;185492;191707;199325;205499;212488;224497;238703;255340;272556;287651;295656;298911;296189;290875;282774;276584
65-69 år;kvinnor;53071;55043;54951;55417;54685;53668;52237;52408;52124;52292;54085;54394;54390;53886;52365;53654;57069;59230;60111;63116;64861;66480;67759;71246;72771;73408;75062;78622;81846;84434;87498;88541;86126;85065;85721;84795;82978;84190;86182;87158;88516;90699;90798;88960;87348;87185;87036;88730;90225;92275;92260;91656;90506;91009;91904;92717;94830;95364;95740;97149;97661;98601;100803;104153;106009;108908;109959;111475;112172;112831;112939;114653;113249;109057;106647;105200;104782;105957;109949;112960;116060;118166;122323;125208;128899;130854;132975;134296;136553;138998;142187;146425;150659;154282;155966;158573;161158;162563;165301;168898;172759;175967;179754;183572;186772;190953;195514;200964;204146;208442;211858;215252;218472;223367;228076;230665;232687;234802;235142;234706;233229;231580;229490;227296;224780;233670;239228;241087;242554;243695;234694;227194;221764;218220;214084;211698;209195;207350;202733;200532;197651;197835;199000;203970;209923;214762;220066;229989;243118;258417;275129;290812;300275;304445;302949;298056;290492;283808
70-74 år;män;23453;24669;26231;27412;28013;28653;29637;29636;29073;29162;28363;27635;28355;28880;29334;30252;31036;31300;31374;30471;31459;33143;34559;35108;37403;39061;40797;42125;44707;45985;47296;48855;50658;53255;54667;56508;56992;55787;54946;55414;55527;54543;55553;57088;57733;58731;59712;59565;57922;56812;57374;57461;58028;59119;60842;60418;60453;60186;60210;60803;62148;63756;63843;64738;66220;66731;66961;68288;70249;71600;73662;74068;75511;76374;76881;77354;79058;78044;74758;73698;73500;74428;76833;81112;83649;87078;89520;92574;94772;97317;98304;99513;99869;101206;103080;105624;108481;111461;114248;114597;114919;116432;117232;119287;121959;125131;127985;131246;134084;136534;139854;143217;146509;149081;152541;154735;157339;160647;164714;168924;172631;174619;176549;177754;177621;175831;174667;173320;171486;170521;178163;182907;184234;186213;186933;180739;175650;172223;169140;166161;164497;163353;163154;161150;160865;161208;163394;166863;173080;180700;186833;193710;205273;218880;234581;250497;264573;272290
70-74 år;kvinnor;34043;34771;37041;38167;39607;40359;41568;41221;41505;40563;38886;38001;39039;39576;40025;41380;42002;42080;41939;41004;41838;44324;46293;46961;49262;51156;52766;53895;56786;57969;58437;59884;62003;64951;67236;70004;71118;69846;69361;69388;68587;67379;68238;69981;71175;72425;74304;74395;72818;71589;71667;71575;72931;74238;75987;75619;75059;74274;74601;75311;76431;78198;78225;79104;80508;80964;81639;83493;86134;87659;89944;90192;91790;92669;93293;93423;94643;92920;89698;87545;86550;86581;88440;92291;95021;97866;99851;102986;105593;108802;110657;112620;113944;115782;118330;121499;125376;129387;133042;134868;136869;139682;141430;144340;148065;151938;154864;158689;162365;165459;170095;175047;179933;183319;187425;190580;193827;197452;202266;206972;209868;211858;214026;214773;214802;213811;212687;211036;209114;207294;215951;221649;223506;225097;226407;218651;211944;207101;204048;199813;197578;195076;193357;189247;187328;184807;185400;186971;192032;197874;202782;207722;217320;229950;244676;260672;275338;284194
75-79 år;män;11987;12356;12500;13347;13525;14374;15454;15700;16017;16035;16439;16914;17402;17754;17822;17179;16844;17508;18031;18647;19598;19865;20039;19951;19224;20088;21641;22880;23033;24740;26458;27572;27958;29386;30418;31260;32781;34566;36646;37008;38714;39057;38334;37930;38448;38190;37606;38184;39267;40285;41377;42078;41805;40623;39715;39719;39758;40217;41047;42353;42348;42290;42242;42574;43251;44281;45491;45272;45896;46768;47349;47046;48187;50006;51169;52305;52386;53077;53598;53825;53939;55353;55148;53265;52918;53230;54261;55717;58683;60564;62759;64452;67206;68826;70906;71883;72706;72798;73754;75482;77127;79414;81155;82930;83108;83664;84719;85589;86914;88594;91339;93601;95578;97912;99781;102015;104333;107346;109248;111698;113550;116134;119030;122537;126162;129493;131508;133455;134842;135186;134237;134069;133856;132898;133057;140146;144701;146367;148552;149168;144999;141848;139668;137865;136416;135628;135328;135982;135071;135418;136309;138935;142400;148372;155541;161294;167768;178446
75-79 år;kvinnor;19119;19817;19863;20890;21101;21762;21905;23797;24041;25160;25010;25574;25878;26201;26197;25243;24863;25917;26448;27070;28221;28389;28553;28385;27656;28611;30684;32334;32614;34460;35942;37089;37034;38792;39586;40346;41901;44252;46838;48017;49428;50132;49123;48802;49271;49047;48565;49021;50024;51446;52754;54021;53842;52675;51789;51542;51660;52741;53812;54835;54693;54103;53302;53903;54856;55928;57348;57060;57411;58261;59104;58667;59985;62424;63824;65042;65272;66057;66572;66847;67029;68037;67682;65968;64564;64050;64341;65496;68353;70424;72520;73956;76759;78961;81947;83908;85667;86654;88450;90888;93332;96688;100280;103459;105324;107499;110236;112451;114915;118365;122408;125632;128519;132416;135736;139874;144234;149278;152634;156844;159921;163367;167120;171870;176213;179082;181596;184170;185143;185616;185049;184549;183654;182493;181624;189866;195440;197310;198816;199719;192992;187297;183598;181377;178141;176310;174507;173149;169964;168643;166733;167620;169211;173932;179540;184183;189018;198154
80-84 år;män;5153;5312;5551;5537;5472;5280;5638;5982;6345;6229;5945;6327;6826;7219;7568;7691;8046;8299;8490;8696;8372;8153;8705;9052;9268;9750;10080;10134;10179;9699;10651;11555;11820;11874;12804;13584;14370;14651;15498;15729;16745;17923;18814;19955;20385;21004;21311;20845;20433;20899;21230;20991;21418;22118;22667;22674;23100;22900;22198;21656;22191;22519;22647;23401;24212;24364;24119;23790;23948;24419;25111;25345;25311;25729;26565;26813;26590;26989;27655;28256;28892;28726;29834;30705;31164;31380;32113;31468;30317;30371;30407;31212;32430;34062;35370;36935;38070;39739;40739;42156;42520;43059;43196;43384;44589;45905;47553;48635;49508;49681;50417;51234;51650;52750;53735;55037;56314;57648;59182;60354;62036;63616;65731;67283;69539;70829;72902;75177;77379;80693;83307;84993;86732;88077;88975;88846;89299;89944;90063;90591;96552;100398;102175;104159;105414;103401;101820;101028;100414;100039;100441;100792;101818;101735;102596;104170;106917;110252
80-84 år;kvinnor;9403;9604;9660;9521;9540;9462;9986;9045;9544;9533;10626;11006;12027;12510;12999;12994;13546;13602;13947;14372;13853;13631;14386;14702;14998;15590;15813;15804;15713;15192;16370;17553;17910;17912;18850;19814;20713;21172;22428;22468;22901;23919;25310;26880;27487;28450;29113;28389;27958;28385;28804;28436;28567;29434;30123;30347;31200;31201;30546;30017;30795;30802;30834;31629;32333;32341;31906;31166;31375;32098;32809;32786;32837;33550;34408;34591;34510;34946;35915;36294;37125;37177;38718;39682;40209;40725;41286;40248;39031;38338;38078;38634;39783;41297;42621;44380;45741;47782;49545;51807;52893;54051;54769;56314;58510;60975;63680;66555;68612;70097;72248;74996;77249;80235;83325;86261;88615;91442;94483;97331;101013;104940;109463;112974;117120;119969;123134;126377;130047;134311;137176;139343;141990;142906;144175;144488;144831;144792;144502;143912;151039;156086;157481;159034;160268;155820;151991;149642;148190;146170;145246;144099;143362;140953;140328;139009;140113;141869
85-89 år;män;1232;1344;1310;1401;1407;1556;1470;1528;1438;1457;1524;1590;1639;1761;1667;1791;1926;2081;2226;2480;2586;2690;2838;2869;2885;2652;2567;2930;3001;3138;3492;3515;3415;3417;3218;3607;4034;4388;4350;4562;4797;5099;5334;5692;5894;6140;6727;7083;7405;7652;8128;8311;8029;7998;8082;7939;7782;7931;8281;8548;9036;9168;8907;8753;8685;8922;9121;9017;9145;9412;9621;9142;9244;9344;9783;9851;10034;9848;10150;10236;10261;10097;10465;11177;11662;12016;12030;12017;12459;12701;12707;12860;12622;12037;12335;12768;13347;13700;14434;15072;15679;16401;16983;17475;18096;18619;19103;18835;18854;19552;20522;21461;22216;22597;22622;22789;23090;23358;23941;24509;25130;26010;26810;27503;28423;29312;30245;31423;32067;33578;34409;35803;37169;38350;40539;42116;43242;44358;45313;46040;46280;47006;47630;48261;49295;53291;56071;57509;59288;60035;59574;59320;58997;59530;59867;60527;61441;62448
85-89 år;kvinnor;2690;2828;2866;3127;2963;3270;3216;3204;2974;3107;3216;3241;3338;3713;3771;3794;4013;4572;4694;4993;5140;5248;5297;5394;5501;5246;5227;5804;5764;5888;6345;6318;6159;6069;5860;6474;7084;7386;7259;7512;7829;8291;8452;8917;9053;9285;9870;10490;11031;11380;12064;12307;11965;11801;11871;11631;11529;11816;12343;12654;13235;13377;12873;12805;12846;13120;13090;12970;13274;13415;13707;12800;12701;13020;13549;13556;13733;13590;13725;14063;14006;13800;14466;15271;15788;16291;16353;16524;16947;17330;17492;17561;17299;16753;16635;17049;17607;18041;18928;19839;20548;21346;22372;23272;24583;25584;26621;26864;27715;29161;31023;33166;35060;36561;37872;39378;40850;42603;44654;46706;48792;50402;52443;54710;57072;59883;62598;65830;68005;70950;73110;75974;78544;81220;84334;86667;88348;90757;92258;92981;93522;93730;93733;93970;94518;100585;104775;105855;107249;108160;105900;103997;102739;102484;101621;101581;101304;100717
90-94 år;män;231;197;205;438;435;532;539;476;414;405;578;563;581;592;622;572;280;268;283;163;377;430;471;499;501;490;505;545;560;614;592;597;638;656;721;703;660;699;744;636;757;868;931;981;988;1120;1271;1303;1312;1367;1336;1525;1720;1780;1757;1695;1739;1607;1630;1705;1860;1861;1916;1940;2046;2149;2180;2047;1996;1981;2202;1918;2015;2253;2277;2230;2181;2125;2164;2182;2205;2207;2294;2440;2588;2643;2563;2518;2695;2822;2959;2805;2923;3078;3141;3168;3311;3251;3069;3162;3274;3406;3594;3749;4037;4447;4913;4788;4899;5064;5263;5416;5502;5730;6004;6265;6413;6716;6854;6855;6846;7003;7196;7492;7676;7823;8278;8449;8677;8957;9472;9754;10219;10480;11108;11548;12062;12673;13190;13781;14419;14888;15185;15827;16385;16488;16991;17390;17872;18563;20528;21899;22368;23082;23648;23755;23869;23928
90-94 år;kvinnor;531;552;550;858;960;876;831;749;723;629;1151;1156;1146;1120;1116;1109;801;691;815;745;990;1168;1321;1376;1350;1322;1380;1345;1413;1497;1506;1509;1506;1608;1625;1644;1680;1798;1848;1599;1749;1925;2041;2081;2126;2318;2503;2435;2502;2628;2474;2603;2777;3005;3046;3064;3142;2979;2974;2934;3185;3176;3272;3434;3493;3521;3600;3410;3259;3312;3445;3225;3263;3458;3556;3482;3310;3220;3329;3335;3258;3353;3476;3701;3911;3974;3903;3882;4095;4222;4343;4279;4458;4637;4764;4900;5067;4966;4805;4931;5036;5325;5423;5623;6019;6716;7426;7296;7512;8052;8586;9033;9501;10221;11021;11816;12531;13395;14083;14575;15299;16133;16972;17982;18993;19870;20841;21913;22736;23814;25179;26445;27979;28954;30795;32172;33682;35147;36727;38099;39207;39892;40668;41595;42549;43024;43598;43976;44070;44888;48384;50859;51307;52174;52869;52258;51695;51792
95-99 år;män;274;282;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;134;136;145;166;157;171;195;185;154;188;220;216;207;210;244;260;250;251;263;289;286;251;295;319;248;269;259;272;239;274;291;315;343;334;289;382;323;350;343;303;333;338;369;374;426;423;427;452;456;448;477;450;425;465;546;652;555;558;632;690;759;791;854;901;914;889;904;955;1025;1105;1176;1204;1175;1234;1246;1286;1314;1352;1429;1442;1549;1579;1579;1630;1705;1785;1867;2018;2094;2114;2212;2324;2393;2626;2783;2908;3023;3172;3263;3292;3446;3571;3698;3941;4466;4771;4790
95-99 år;kvinnor;353;345;352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;333;329;356;361;325;397;440;478;476;440;457;432;472;483;515;504;527;567;583;495;492;496;523;515;473;474;488;520;526;507;491;525;563;604;515;688;556;600;600;562;606;648;655;652;694;746;760;806;796;863;923;944;923;970;1088;1269;1185;1113;1213;1292;1464;1482;1605;1794;1942;1963;2141;2391;2652;2800;2977;3260;3403;3604;3794;4047;4269;4428;4622;4873;5137;5370;5528;5860;6399;6745;7073;7654;8068;8438;8958;9201;9499;10004;10429;10693;11081;11313;11631;11880;12036;12150;12182;12585;13988;14803;14790
100+ år;män;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;17;0;0;0;0;17;0;0;0;0;10;0;0;0;0;9;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;33;38;43;43;49;61;59;58;68;86;99;72;79;66;81;87;95;101;125;118;117;130;119;128;138;131;142;133;141;138;147;163;160;170;189;193;205;219;225;235;250;245;276;275;299;321;315;332;352
100+ år;kvinnor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;46;0;0;0;0;31;0;0;0;0;25;0;0;0;0;43;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;78;89;99;112;124;151;149;162;194;202;214;248;265;313;330;367;382;419;454;446;466;480;503;531;557;585;656;660;736;770;769;828;881;959;1011;1085;1137;1188;1233;1310;1386;1414;1494;1561;1580;1632;1581;1649;1732
