VR4 Södermanlands läns valkrets;ej röstande;13049;12644;14563;13571;17037;24820;24490;24008;34684;38455;35736;31228;29480
VR5 Östergötlands läns valkrets;Moderaterna;34442;39985;51628;60657;54916;44818;55196;57753;54967;36927;65037;80141;64877
VR5 Östergötlands läns valkrets;Centerpartiet;60522;60585;44815;39856;34573;30374;21738;20464;12842;15254;19884;17561;17443
VR5 Östergötlands läns valkrets;Folkpartiet;17889;24521;24437;13521;34348;28085;21695;17769;9536;29654;17117;19017;14860
VR5 Östergötlands läns valkrets;Kristdemokraterna;6510;5227;4886;6537;0;9143;23057;12791;32821;25784;18831;16357;14752
VR5 Östergötlands läns valkrets;Miljöpartiet;0;0;0;3630;3465;13290;7775;13531;11949;12046;13402;21225;19218
VR5 Östergötlands läns valkrets;Socialdemokraterna;117052;120385;121830;128217;126695;117090;101464;122703;92795;105943;98062;92164;94909
VR5 Östergötlands läns valkrets;Vänsterpartiet;9951;9096;11678;12331;11672;13009;10350;14673;27767;18222;13628;14242;14011
VR5 Östergötlands läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;572;2157;6088;14862;41953
VR5 Östergötlands läns valkrets;övriga partier;1009;803;1886;398;890;926;20112;6772;6508;4939;10119;4172;9461
VR5 Östergötlands läns valkrets;ogiltiga valsedlar;372;873;1465;2817;2351;3246;5105;4314;6125;4619;5309;3390;3099
VR5 Östergötlands läns valkrets;ej röstande;23612;21788;25280;23380;28034;40446;38846;38089;54567;59313;53431;46879;44081
VR6 Jönköpings läns valkrets;Moderaterna;27238;31188;39610;45964;39646;32004;37680;39947;36820;25267;45302;57901;45594
VR6 Jönköpings läns valkrets;Centerpartiet;56395;61554;48343;40200;44207;28712;22032;21637;13365;14510;17290;16859;17800
VR6 Jönköpings läns valkrets;Folkpartiet;19077;23237;22813;13704;29091;22081;14756;12481;6409;17978;10982;12134;8090
VR6 Jönköpings läns valkrets;Kristdemokraterna;10696;7378;8478;13879;0;20853;33637;21549;45462;40316;32946;27822;23322
VR6 Jönköpings läns valkrets;Miljöpartiet;0;0;0;2303;2114;7507;4951;8369;7245;6400;7070;11438;12095
VR6 Jönköpings läns valkrets;Socialdemokraterna;73431;73849;75507;81988;82093;78968;69823;83870;68773;78670;72757;66316;71487
VR6 Jönköpings läns valkrets;Vänsterpartiet;5442;5033;6435;6066;6290;6659;5599;8770;17533;11417;8734;8775;8685
VR6 Jönköpings läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;426;1994;6514;13888;32815
VR6 Jönköpings läns valkrets;övriga partier;604;414;691;231;538;771;11915;4141;3717;2430;3705;1431;4708
VR6 Jönköpings läns valkrets;ogiltiga valsedlar;188;473;789;1410;1346;1922;3001;2823;3887;2855;3770;2637;2209
VR6 Jönköpings läns valkrets;ej röstande;15803;14826;17317;16350;19967;27568;26072;26859;39669;43811;41614;37337;33828
VR7 Kronobergs läns valkrets;Moderaterna;15879;17506;23418;26695;24309;19149;22277;24906;21859;15200;27454;34762;26453
VR7 Kronobergs läns valkrets;Centerpartiet;37144;38737;30827;27642;24039;20732;16994;15409;10457;11746;12562;11559;10988
VR7 Kronobergs läns valkrets;Folkpartiet;6106;8600;9172;4680;13281;10387;7769;6246;3200;10538;6381;6667;4109
VR7 Kronobergs läns valkrets;Kristdemokraterna;1866;1624;1565;2205;0;4409;10091;5522;15726;11695;8824;7111;5983
VR7 Kronobergs läns valkrets;Miljöpartiet;0;0;0;1884;1632;5878;3555;5533;4514;4354;4695;7044;6559
VR7 Kronobergs läns valkrets;Socialdemokraterna;41575;42638;43285;47507;47352;46083;39430;49337;39739;43696;40056;35555;39179
