region;parti mm;1973;2014
0586 Mjölby;Kristdemokraterna;439;846
0586 Mjölby;Miljöpartiet;0;770
0586 Mjölby;Socialdemokraterna;7608;6685
0586 Mjölby;Vänsterpartiet;569;771
0586 Mjölby;Sverigedemokraterna;0;2644
0586 Mjölby;övriga partier;49;399
0586 Mjölby;ogiltiga valsedlar;41;223
0586 Mjölby;ej röstande;1601;2683
0604 Aneby;Moderaterna;612;744
0604 Aneby;Centerpartiet;1542;543
0604 Aneby;Folkpartiet;503;129
0604 Aneby;Kristdemokraterna;354;599
0604 Aneby;Miljöpartiet;0;213
0604 Aneby;Socialdemokraterna;1078;1288
0604 Aneby;Vänsterpartiet;44;114
0604 Aneby;Sverigedemokraterna;0;731
0604 Aneby;övriga partier;2;64
0604 Aneby;ogiltiga valsedlar;7;44
0604 Aneby;ej röstande;379;548
0617 Gnosjö;Moderaterna;721;1196
0617 Gnosjö;Centerpartiet;1733;491
0617 Gnosjö;Folkpartiet;471;169
0617 Gnosjö;Kristdemokraterna;401;822
0617 Gnosjö;Miljöpartiet;0;197
0617 Gnosjö;Socialdemokraterna;1414;1757
0617 Gnosjö;Vänsterpartiet;97;150
0617 Gnosjö;Sverigedemokraterna;0;916
0617 Gnosjö;övriga partier;5;72
0617 Gnosjö;ogiltiga valsedlar;5;70
0617 Gnosjö;ej röstande;238;1025
0642 Mullsjö;Moderaterna;365;793
0642 Mullsjö;Centerpartiet;1068;241
0642 Mullsjö;Folkpartiet;347;161
0642 Mullsjö;Kristdemokraterna;272;809
0642 Mullsjö;Miljöpartiet;0;284
0642 Mullsjö;Socialdemokraterna;832;1357
0642 Mullsjö;Vänsterpartiet;46;230
0642 Mullsjö;Sverigedemokraterna;0;761
0642 Mullsjö;övriga partier;1;116
0642 Mullsjö;ogiltiga valsedlar;0;54
0642 Mullsjö;ej röstande;177;582
0643 Habo;Moderaterna;543;1644
0643 Habo;Centerpartiet;1256;472
0643 Habo;Folkpartiet;441;270
0643 Habo;Kristdemokraterna;294;974
0643 Habo;Miljöpartiet;0;393
0643 Habo;Socialdemokraterna;1131;2007
0643 Habo;Vänsterpartiet;55;231
0643 Habo;Sverigedemokraterna;0;1119
0643 Habo;övriga partier;3;144
0643 Habo;ogiltiga valsedlar;1;100
0643 Habo;ej röstande;312;671
0662 Gislaved;Moderaterna;2040;3973
0662 Gislaved;Centerpartiet;5897;1826
0662 Gislaved;Folkpartiet;1435;583
0662 Gislaved;Kristdemokraterna;468;975
0662 Gislaved;Miljöpartiet;0;665
0662 Gislaved;Socialdemokraterna;6018;6427
0662 Gislaved;Vänsterpartiet;314;555
0662 Gislaved;Sverigedemokraterna;0;2888
0662 Gislaved;övriga partier;29;260
0662 Gislaved;ogiltiga valsedlar;21;212
0662 Gislaved;ej röstande;1087;3205
0665 Vaggeryd;Moderaterna;1012;1521
0665 Vaggeryd;Centerpartiet;2272;683
0665 Vaggeryd;Folkpartiet;650;261
0665 Vaggeryd;Kristdemokraterna;583;1013
0665 Vaggeryd;Miljöpartiet;0;346
0665 Vaggeryd;Socialdemokraterna;2494;2921
0665 Vaggeryd;Vänsterpartiet;249;298
0665 Vaggeryd;Sverigedemokraterna;0;1319
0665 Vaggeryd;övriga partier;27;163
0665 Vaggeryd;ogiltiga valsedlar;4;88
0665 Vaggeryd;ej röstande;462;1287
0680 Jönköping;Moderaterna;10378;19020
0680 Jönköping;Centerpartiet;15809;5040
0680 Jönköping;Folkpartiet;7367;3626
0680 Jönköping;Kristdemokraterna;3856;9645
0680 Jönköping;Miljöpartiet;0;5932
0680 Jönköping;Socialdemokraterna;29123;26475
0680 Jönköping;Vänsterpartiet;2367;3996
0680 Jönköping;Sverigedemokraterna;0;10891
0680 Jönköping;övriga partier;239;2204
0680 Jönköping;ogiltiga valsedlar;69;778
0680 Jönköping;ej röstande;5880;12983
0682 Nässjö;Moderaterna;2650;3203
0682 Nässjö;Centerpartiet;6013;1350
0682 Nässjö;Folkpartiet;2134;543
0682 Nässjö;Kristdemokraterna;892;1767
0682 Nässjö;Miljöpartiet;0;989
0682 Nässjö;Socialdemokraterna;9412;6502
0682 Nässjö;Vänsterpartiet;794;794
0682 Nässjö;Sverigedemokraterna;0;3713
0682 Nässjö;övriga partier;99;357
0682 Nässjö;ogiltiga valsedlar;25;183
0682 Nässjö;ej röstande;1766;2871
0683 Värnamo;Moderaterna;2707;4449
0683 Värnamo;Centerpartiet;6220;2383
0683 Värnamo;Folkpartiet;1606;644
0683 Värnamo;Kristdemokraterna;1277;2134
0683 Värnamo;Miljöpartiet;0;901
0683 Värnamo;Socialdemokraterna;6311;7373
0683 Värnamo;Vänsterpartiet;522;652
0683 Värnamo;Sverigedemokraterna;0;2927
0683 Värnamo;övriga partier;73;361
0683 Värnamo;ogiltiga valsedlar;22;210
0683 Värnamo;ej röstande;1383;3350
0684 Sävsjö;Moderaterna;1302;1248
0684 Sävsjö;Centerpartiet;3001;806
0684 Sävsjö;Folkpartiet;696;159
0684 Sävsjö;Kristdemokraterna;449;1067
0684 Sävsjö;Miljöpartiet;0;184
0684 Sävsjö;Socialdemokraterna;1915;1919
0684 Sävsjö;Vänsterpartiet;135;189
0684 Sävsjö;Sverigedemokraterna;0;1310
0684 Sävsjö;övriga partier;12;111
0684 Sävsjö;ogiltiga valsedlar;7;61
0684 Sävsjö;ej röstande;692;1070
0685 Vetlanda;Moderaterna;2389;3189
0685 Vetlanda;Centerpartiet;6845;1920
0685 Vetlanda;Folkpartiet;1576;609
0685 Vetlanda;Kristdemokraterna;1018;1615
0685 Vetlanda;Miljöpartiet;0;708
0685 Vetlanda;Socialdemokraterna;6361;5581
0685 Vetlanda;Vänsterpartiet;348;607
0685 Vetlanda;Sverigedemokraterna;0;2858
0685 Vetlanda;övriga partier;28;316
0685 Vetlanda;ogiltiga valsedlar;8;176
0685 Vetlanda;ej röstande;1695;2758
0686 Eksjö;Moderaterna;1769;2282
0686 Eksjö;Centerpartiet;3996;1252
0686 Eksjö;Folkpartiet;1298;475
0686 Eksjö;Kristdemokraterna;615;958
0686 Eksjö;Miljöpartiet;0;603
0686 Eksjö;Socialdemokraterna;4138;3439
0686 Eksjö;Vänsterpartiet;187;381
0686 Eksjö;Sverigedemokraterna;0;1477
0686 Eksjö;övriga partier;46;276
0686 Eksjö;ogiltiga valsedlar;8;123
0686 Eksjö;ej röstande;1101;1682
0687 Tranås;Moderaterna;1658;2332
0687 Tranås;Centerpartiet;3067;793
0687 Tranås;Folkpartiet;1341;461
0687 Tranås;Kristdemokraterna;783;944
0687 Tranås;Miljöpartiet;0;680
0687 Tranås;Socialdemokraterna;5167;4441
0687 Tranås;Vänsterpartiet;385;488
0687 Tranås;Sverigedemokraterna;0;1905
0687 Tranås;övriga partier;44;264
0687 Tranås;ogiltiga valsedlar;12;110
0687 Tranås;ej röstande;1120;1796
0760 Uppvidinge;Moderaterna;796;1009
0760 Uppvidinge;Centerpartiet;2573;754
0760 Uppvidinge;Folkpartiet;330;155
0760 Uppvidinge;Kristdemokraterna;81;212
0760 Uppvidinge;Miljöpartiet;0;168
0760 Uppvidinge;Socialdemokraterna;3327;1905
0760 Uppvidinge;Vänsterpartiet;549;239
0760 Uppvidinge;Sverigedemokraterna;0;1142
0760 Uppvidinge;övriga partier;17;123
0760 Uppvidinge;ogiltiga valsedlar;3;76
0760 Uppvidinge;ej röstande;721;964
0761 Lessebo;Moderaterna;510;817
0761 Lessebo;Centerpartiet;1304;343
0761 Lessebo;Folkpartiet;210;103
0761 Lessebo;Kristdemokraterna;57;122
0761 Lessebo;Miljöpartiet;0;230
0761 Lessebo;Socialdemokraterna;3185;2081
0761 Lessebo;Vänsterpartiet;412;289
0761 Lessebo;Sverigedemokraterna;0;902
0761 Lessebo;övriga partier;14;127
0761 Lessebo;ogiltiga valsedlar;5;66
0761 Lessebo;ej röstande;343;741
0763 Tingsryd;Moderaterna;1651;1614
0763 Tingsryd;Centerpartiet;4208;1044
0763 Tingsryd;Folkpartiet;400;177
0763 Tingsryd;Kristdemokraterna;126;346
0763 Tingsryd;Miljöpartiet;0;220
0763 Tingsryd;Socialdemokraterna;3039;2484
0763 Tingsryd;Vänsterpartiet;322;289
0763 Tingsryd;Sverigedemokraterna;0;1624
0763 Tingsryd;övriga partier;7;154
0763 Tingsryd;ogiltiga valsedlar;8;85
0763 Tingsryd;ej röstande;1206;1429
0764 Alvesta;Moderaterna;1649;2481
0764 Alvesta;Centerpartiet;4491;1285
0764 Alvesta;Folkpartiet;663;292
0764 Alvesta;Kristdemokraterna;226;509
0764 Alvesta;Miljöpartiet;0;423
0764 Alvesta;Socialdemokraterna;4323;3758
0764 Alvesta;Vänsterpartiet;401;493
0764 Alvesta;Sverigedemokraterna;0;2611
0764 Alvesta;övriga partier;22;262
0764 Alvesta;ogiltiga valsedlar;12;129
0764 Alvesta;ej röstande;1190;1909
0765 Älmhult;Moderaterna;1548;2251
0765 Älmhult;Centerpartiet;3208;1000
0765 Älmhult;Folkpartiet;420;314
0765 Älmhult;Kristdemokraterna;163;513
0765 Älmhult;Miljöpartiet;0;523
0765 Älmhult;Socialdemokraterna;4207;3360
0765 Älmhult;Vänsterpartiet;313;337
0765 Älmhult;Sverigedemokraterna;0;1498
0765 Älmhult;övriga partier;7;222
0765 Älmhult;ogiltiga valsedlar;14;74
0765 Älmhult;ej röstande;901;1611
0767 Markaryd;Moderaterna;817;1166
0767 Markaryd;Centerpartiet;2435;443
0767 Markaryd;Folkpartiet;415;101
0767 Markaryd;Kristdemokraterna;247;441
0767 Markaryd;Miljöpartiet;0;207
0767 Markaryd;Socialdemokraterna;3033;2048
0767 Markaryd;Vänsterpartiet;264;143
0767 Markaryd;Sverigedemokraterna;0;1253
0767 Markaryd;övriga partier;8;137
0767 Markaryd;ogiltiga valsedlar;3;69
0767 Markaryd;ej röstande;666;1150
0780 Växjö;Moderaterna;6542;13525
0780 Växjö;Centerpartiet;12557;4307
0780 Växjö;Folkpartiet;2501;2416
0780 Växjö;Kristdemokraterna;527;2807
0780 Växjö;Miljöpartiet;0;4051
0780 Växjö;Socialdemokraterna;14880;17623
0780 Växjö;Vänsterpartiet;1538;2927
0780 Växjö;Sverigedemokraterna;0;6885
0780 Växjö;övriga partier;138;1778
0780 Växjö;ogiltiga valsedlar;35;501
0780 Växjö;ej röstande;3781;7828
0781 Ljungby;Moderaterna;2366;3590
0781 Ljungby;Centerpartiet;6368;1812
0781 Ljungby;Folkpartiet;1167;551
0781 Ljungby;Kristdemokraterna;439;1033
0781 Ljungby;Miljöpartiet;0;737
0781 Ljungby;Socialdemokraterna;5581;5920
0781 Ljungby;Vänsterpartiet;501;742
0781 Ljungby;Sverigedemokraterna;0;2905
0781 Ljungby;övriga partier;53;422
0781 Ljungby;ogiltiga valsedlar;17;203
0781 Ljungby;ej röstande;1736;3113
0821 Högsby;Moderaterna;747;532
0821 Högsby;Centerpartiet;1706;386
0821 Högsby;Folkpartiet;248;69
0821 Högsby;Kristdemokraterna;213;194
0821 Högsby;Miljöpartiet;0;82
0821 Högsby;Socialdemokraterna;2500;1426
0821 Högsby;Vänsterpartiet;219;150
0821 Högsby;Sverigedemokraterna;0;721
0821 Högsby;övriga partier;3;68
0821 Högsby;ogiltiga valsedlar;7;28
0821 Högsby;ej röstande;434;610
0834 Torsås;Moderaterna;778;760
0834 Torsås;Centerpartiet;2230;649
0834 Torsås;Folkpartiet;253;161
0834 Torsås;Kristdemokraterna;164;193
0834 Torsås;Miljöpartiet;0;152
0834 Torsås;Socialdemokraterna;1614;1582
0834 Torsås;Vänsterpartiet;68;150
0834 Torsås;Sverigedemokraterna;0;982
0834 Torsås;övriga partier;2;98
0834 Torsås;ogiltiga valsedlar;8;47
0834 Torsås;ej röstande;553;709
0840 Mörbylånga;Moderaterna;1154;2513
0840 Mörbylånga;Centerpartiet;2690;982
0840 Mörbylånga;Folkpartiet;465;413
0840 Mörbylånga;Kristdemokraterna;66;458
0840 Mörbylånga;Miljöpartiet;0;561
0840 Mörbylånga;Socialdemokraterna;2355;2972
0840 Mörbylånga;Vänsterpartiet;126;380
0840 Mörbylånga;Sverigedemokraterna;0;1536
0840 Mörbylånga;övriga partier;1;312
0840 Mörbylånga;ogiltiga valsedlar;13;101
0840 Mörbylånga;ej röstande;594;1101
0860 Hultsfred;Moderaterna;1651;1253
0860 Hultsfred;Centerpartiet;3858;956
0860 Hultsfred;Folkpartiet;669;182
0860 Hultsfred;Kristdemokraterna;463;580
0860 Hultsfred;Miljöpartiet;0;237
0860 Hultsfred;Socialdemokraterna;5232;3468
0860 Hultsfred;Vänsterpartiet;370;362
0860 Hultsfred;Sverigedemokraterna;0;1542
0860 Hultsfred;övriga partier;11;187
0860 Hultsfred;ogiltiga valsedlar;11;77
0860 Hultsfred;ej röstande;1059;1677
0861 Mönsterås;Moderaterna;1088;1494
0861 Mönsterås;Centerpartiet;2213;852
0861 Mönsterås;Folkpartiet;371;210
0861 Mönsterås;Kristdemokraterna;315;376
0861 Mönsterås;Miljöpartiet;0;270
0861 Mönsterås;Socialdemokraterna;4072;3449
0861 Mönsterås;Vänsterpartiet;471;396
0861 Mönsterås;Sverigedemokraterna;0;1620
0861 Mönsterås;övriga partier;10;163
0861 Mönsterås;ogiltiga valsedlar;4;91
0861 Mönsterås;ej röstande;795;1273
0862 Emmaboda;Moderaterna;751;1001
0862 Emmaboda;Centerpartiet;2611;670
0862 Emmaboda;Folkpartiet;305;105
0862 Emmaboda;Kristdemokraterna;107;243
0862 Emmaboda;Miljöpartiet;0;238
0862 Emmaboda;Socialdemokraterna;3394;2419
0862 Emmaboda;Vänsterpartiet;274;278
0862 Emmaboda;Sverigedemokraterna;0;924
0862 Emmaboda;övriga partier;20;150
0862 Emmaboda;ogiltiga valsedlar;10;67
0862 Emmaboda;ej röstande;649;1001
0880 Kalmar;Moderaterna;6308;10260
0880 Kalmar;Centerpartiet;8093;2954
0880 Kalmar;Folkpartiet;2410;1950
0880 Kalmar;Kristdemokraterna;544;1941
0880 Kalmar;Miljöpartiet;0;3035
0880 Kalmar;Socialdemokraterna;15804;14311
0880 Kalmar;Vänsterpartiet;1237;1974
0880 Kalmar;Sverigedemokraterna;0;5744
0880 Kalmar;övriga partier;114;1542
0880 Kalmar;ogiltiga valsedlar;68;427
0880 Kalmar;ej röstande;3428;6246
0881 Nybro;Moderaterna;1748;2246
0881 Nybro;Centerpartiet;4468;1359
0881 Nybro;Folkpartiet;549;335
0881 Nybro;Kristdemokraterna;354;598
0881 Nybro;Miljöpartiet;0;438
0881 Nybro;Socialdemokraterna;6425;4780
0881 Nybro;Vänsterpartiet;720;694
0881 Nybro;Sverigedemokraterna;0;2232
0881 Nybro;övriga partier;15;319
0881 Nybro;ogiltiga valsedlar;24;147
0881 Nybro;ej röstande;1253;2214
0882 Oskarshamn;Moderaterna;2246;3704
0882 Oskarshamn;Centerpartiet;4029;810
0882 Oskarshamn;Folkpartiet;1173;767
0882 Oskarshamn;Kristdemokraterna;578;1017
0882 Oskarshamn;Miljöpartiet;0;584
0882 Oskarshamn;Socialdemokraterna;8782;6662
0882 Oskarshamn;Vänsterpartiet;719;864
0882 Oskarshamn;Sverigedemokraterna;0;2866
0882 Oskarshamn;övriga partier;74;341
0882 Oskarshamn;ogiltiga valsedlar;24;207
0882 Oskarshamn;ej röstande;1711;2761
0883 Västervik;Moderaterna;3493;4730
0883 Västervik;Centerpartiet;6938;1938
0883 Västervik;Folkpartiet;1368;922
0883 Västervik;Kristdemokraterna;524;943
0883 Västervik;Miljöpartiet;0;1099
0883 Västervik;Socialdemokraterna;13153;9620
0883 Västervik;Vänsterpartiet;1476;1258
0883 Västervik;Sverigedemokraterna;0;3333
0883 Västervik;övriga partier;47;644
0883 Västervik;ogiltiga valsedlar;42;247
0883 Västervik;ej röstande;3051;4232
0884 Vimmerby;Moderaterna;1522;1954
0884 Vimmerby;Centerpartiet;4637;1196
0884 Vimmerby;Folkpartiet;410;233
0884 Vimmerby;Kristdemokraterna;198;520
0884 Vimmerby;Miljöpartiet;0;399
0884 Vimmerby;Socialdemokraterna;3774;3740
0884 Vimmerby;Vänsterpartiet;241;450
0884 Vimmerby;Sverigedemokraterna;0;1600
0884 Vimmerby;övriga partier;12;222
0884 Vimmerby;ogiltiga valsedlar;12;118
0884 Vimmerby;ej röstande;890;1611
0885 Borgholm;Moderaterna;968;1866
0885 Borgholm;Centerpartiet;3549;1115
0885 Borgholm;Folkpartiet;345;264
0885 Borgholm;Kristdemokraterna;239;385
0885 Borgholm;Miljöpartiet;0;340
0885 Borgholm;Socialdemokraterna;1823;1941
0885 Borgholm;Vänsterpartiet;154;279
0885 Borgholm;Sverigedemokraterna;0;1160
0885 Borgholm;övriga partier;7;237
0885 Borgholm;ogiltiga valsedlar;14;87
0885 Borgholm;ej röstande;723;1151
0980 Gotland;Moderaterna;4344;8450
0980 Gotland;Centerpartiet;13528;5317
0980 Gotland;Folkpartiet;2506;1494
0980 Gotland;Kristdemokraterna;332;1095
0980 Gotland;Miljöpartiet;0;2859
0980 Gotland;Socialdemokraterna;12722;12774
0980 Gotland;Vänsterpartiet;615;2308
0980 Gotland;Sverigedemokraterna;0;3259
0980 Gotland;övriga partier;139;2099
0980 Gotland;ogiltiga valsedlar;96;520
0980 Gotland;ej röstande;3708;6291
1060 Olofström;Moderaterna;870;1123
1060 Olofström;Centerpartiet;2171;473
1060 Olofström;Folkpartiet;703;168
1060 Olofström;Kristdemokraterna;268;287
1060 Olofström;Miljöpartiet;0;295
1060 Olofström;Socialdemokraterna;4737;3839
1060 Olofström;Vänsterpartiet;413;413
1060 Olofström;Sverigedemokraterna;0;1602
1060 Olofström;övriga partier;52;172
1060 Olofström;ogiltiga valsedlar;12;118
1060 Olofström;ej röstande;871;1641
1080 Karlskrona;Moderaterna;5068;8848
1080 Karlskrona;Centerpartiet;8601;2493
1080 Karlskrona;Folkpartiet;4737;2225
1080 Karlskrona;Kristdemokraterna;785;1674
1080 Karlskrona;Miljöpartiet;0;2309
1080 Karlskrona;Socialdemokraterna;19207;15522
1080 Karlskrona;Vänsterpartiet;1317;1954
1080 Karlskrona;Sverigedemokraterna;0;6603
1080 Karlskrona;övriga partier;59;1099
1080 Karlskrona;ogiltiga valsedlar;34;368
1080 Karlskrona;ej röstande;4103;5917
1081 Ronneby;Moderaterna;2056;3335
1081 Ronneby;Centerpartiet;5124;1289
1081 Ronneby;Folkpartiet;1411;653
1081 Ronneby;Kristdemokraterna;183;534
1081 Ronneby;Miljöpartiet;0;732
1081 Ronneby;Socialdemokraterna;9578;6731
1081 Ronneby;Vänsterpartiet;760;972
1081 Ronneby;Sverigedemokraterna;0;4028
1081 Ronneby;övriga partier;51;421
1081 Ronneby;ogiltiga valsedlar;29;174
1081 Ronneby;ej röstande;1863;2877
1082 Karlshamn;Moderaterna;2325;3923
1082 Karlshamn;Centerpartiet;4403;1015
1082 Karlshamn;Folkpartiet;1433;616
1082 Karlshamn;Kristdemokraterna;347;647
1082 Karlshamn;Miljöpartiet;0;1192
1082 Karlshamn;Socialdemokraterna;10435;8114
1082 Karlshamn;Vänsterpartiet;1237;1044
1082 Karlshamn;Sverigedemokraterna;0;3867
1082 Karlshamn;övriga partier;90;574
1082 Karlshamn;ogiltiga valsedlar;14;221
1082 Karlshamn;ej röstande;2171;3489
1083 Sölvesborg;Moderaterna;1465;2595
1083 Sölvesborg;Centerpartiet;2216;522
1083 Sölvesborg;Folkpartiet;980;322
1083 Sölvesborg;Kristdemokraterna;161;341
1083 Sölvesborg;Miljöpartiet;0;441
1083 Sölvesborg;Socialdemokraterna;4821;3775
1083 Sölvesborg;Vänsterpartiet;355;363
1083 Sölvesborg;Sverigedemokraterna;0;2860
1083 Sölvesborg;övriga partier;6;220
1083 Sölvesborg;ogiltiga valsedlar;14;114
1083 Sölvesborg;ej röstande;928;1720
1214 Svalöv;Moderaterna;884;1467
1214 Svalöv;Centerpartiet;3112;799
1214 Svalöv;Folkpartiet;422;285
1214 Svalöv;Kristdemokraterna;55;215
1214 Svalöv;Miljöpartiet;0;386
1214 Svalöv;Socialdemokraterna;3412;2421
1214 Svalöv;Vänsterpartiet;119;255
1214 Svalöv;Sverigedemokraterna;0;2180
1214 Svalöv;övriga partier;2;252
1214 Svalöv;ogiltiga valsedlar;20;89
1214 Svalöv;ej röstande;624;1448
1229 Bara;Moderaterna;418;0
1229 Bara;Centerpartiet;827;0
1229 Bara;Folkpartiet;171;0
1229 Bara;Kristdemokraterna;12;0
1229 Bara;Miljöpartiet;0;0
1229 Bara;Socialdemokraterna;962;0
1229 Bara;Vänsterpartiet;26;0
1229 Bara;Sverigedemokraterna;0;0
1229 Bara;övriga partier;1;0
1229 Bara;ogiltiga valsedlar;5;0
1229 Bara;ej röstande;133;0
1230 Staffanstorp;Moderaterna;1597;4597
1230 Staffanstorp;Centerpartiet;2704;791
1230 Staffanstorp;Folkpartiet;569;927
1230 Staffanstorp;Kristdemokraterna;18;496
1230 Staffanstorp;Miljöpartiet;0;877
1230 Staffanstorp;Socialdemokraterna;3044;3756
1230 Staffanstorp;Vänsterpartiet;110;349
1230 Staffanstorp;Sverigedemokraterna;0;2553
1230 Staffanstorp;övriga partier;5;420
1230 Staffanstorp;ogiltiga valsedlar;23;131
1230 Staffanstorp;ej röstande;406;1715
1231 Burlöv;Moderaterna;1073;2038
1231 Burlöv;Centerpartiet;1791;291
1231 Burlöv;Folkpartiet;562;476
1231 Burlöv;Kristdemokraterna;16;178
1231 Burlöv;Miljöpartiet;0;588
1231 Burlöv;Socialdemokraterna;4368;3548
1231 Burlöv;Vänsterpartiet;240;418
1231 Burlöv;Sverigedemokraterna;0;1863
1231 Burlöv;övriga partier;16;261
1231 Burlöv;ogiltiga valsedlar;28;77
1231 Burlöv;ej röstande;568;2339
1233 Vellinge;Moderaterna;2970;11420
1233 Vellinge;Centerpartiet;3132;1015
1233 Vellinge;Folkpartiet;799;1859
1233 Vellinge;Kristdemokraterna;86;1090
1233 Vellinge;Miljöpartiet;0;852
1233 Vellinge;Socialdemokraterna;3590;2814
1233 Vellinge;Vänsterpartiet;108;233
1233 Vellinge;Sverigedemokraterna;0;3871
1233 Vellinge;övriga partier;18;368
1233 Vellinge;ogiltiga valsedlar;34;135
1233 Vellinge;ej röstande;523;2238
1256 Östra Göinge;Moderaterna;906;1454
1256 Östra Göinge;Centerpartiet;2360;511
1256 Östra Göinge;Folkpartiet;574;273
1256 Östra Göinge;Kristdemokraterna;213;327
1256 Östra Göinge;Miljöpartiet;0;328
1256 Östra Göinge;Socialdemokraterna;4709;3168
1256 Östra Göinge;Vänsterpartiet;276;293
1256 Östra Göinge;Sverigedemokraterna;0;2305
1256 Östra Göinge;övriga partier;8;196
1256 Östra Göinge;ogiltiga valsedlar;9;85
1256 Östra Göinge;ej röstande;796;1517
1257 Örkelljunga;Moderaterna;1239;1099
1257 Örkelljunga;Centerpartiet;2117;366
1257 Örkelljunga;Folkpartiet;507;185
1257 Örkelljunga;Kristdemokraterna;246;600
1257 Örkelljunga;Miljöpartiet;0;229
1257 Örkelljunga;Socialdemokraterna;1427;1700
1257 Örkelljunga;Vänsterpartiet;75;143
1257 Örkelljunga;Sverigedemokraterna;0;1615
1257 Örkelljunga;övriga partier;2;134
1257 Örkelljunga;ogiltiga valsedlar;10;59
1257 Örkelljunga;ej röstande;585;1212
1260 Bjuv;Moderaterna;695;1425
1260 Bjuv;Centerpartiet;1871;269
1260 Bjuv;Folkpartiet;428;221
1260 Bjuv;Kristdemokraterna;50;188
1260 Bjuv;Miljöpartiet;0;312
1260 Bjuv;Socialdemokraterna;4820;3425
1260 Bjuv;Vänsterpartiet;189;296
1260 Bjuv;Sverigedemokraterna;0;2173
1260 Bjuv;övriga partier;11;161
1260 Bjuv;ogiltiga valsedlar;16;121
1260 Bjuv;ej röstande;576;2011
1261 Kävlinge;Moderaterna;1033;5677
1261 Kävlinge;Centerpartiet;3110;1081
1261 Kävlinge;Folkpartiet;667;1237
1261 Kävlinge;Kristdemokraterna;27;548
1261 Kävlinge;Miljöpartiet;0;1129
1261 Kävlinge;Socialdemokraterna;5382;5237
1261 Kävlinge;Vänsterpartiet;161;396
1261 Kävlinge;Sverigedemokraterna;0;3657
1261 Kävlinge;övriga partier;9;367
1261 Kävlinge;ogiltiga valsedlar;29;205
1261 Kävlinge;ej röstande;632;2246
1262 Lomma;Moderaterna;1994;6176
1262 Lomma;Centerpartiet;2369;905
1262 Lomma;Folkpartiet;698;1531
1262 Lomma;Kristdemokraterna;24;769
1262 Lomma;Miljöpartiet;0;897
1262 Lomma;Socialdemokraterna;3609;2690
1262 Lomma;Vänsterpartiet;145;203
1262 Lomma;Sverigedemokraterna;0;1954
1262 Lomma;övriga partier;3;348
1262 Lomma;ogiltiga valsedlar;25;86
1262 Lomma;ej röstande;441;1197
1263 Svedala;Moderaterna;479;3471
1263 Svedala;Centerpartiet;1289;567
1263 Svedala;Folkpartiet;235;694
1263 Svedala;Kristdemokraterna;70;378
1263 Svedala;Miljöpartiet;0;659
1263 Svedala;Socialdemokraterna;2505;3439
1263 Svedala;Vänsterpartiet;61;267
1263 Svedala;Sverigedemokraterna;0;3113
1263 Svedala;övriga partier;7;334
1263 Svedala;ogiltiga valsedlar;10;148
1263 Svedala;ej röstande;293;1625
1264 Skurup;Moderaterna;685;2259
1264 Skurup;Centerpartiet;3001;643
1264 Skurup;Folkpartiet;462;360
1264 Skurup;Kristdemokraterna;74;223
1264 Skurup;Miljöpartiet;0;373
1264 Skurup;Socialdemokraterna;2928;2736
1264 Skurup;Vänsterpartiet;61;320
1264 Skurup;Sverigedemokraterna;0;2396
1264 Skurup;övriga partier;16;246
1264 Skurup;ogiltiga valsedlar;23;124
1264 Skurup;ej röstande;644;1620
1265 Sjöbo;Moderaterna;993;2743
1265 Sjöbo;Centerpartiet;4226;916
1265 Sjöbo;Folkpartiet;685;337
1265 Sjöbo;Kristdemokraterna;54;400
1265 Sjöbo;Miljöpartiet;0;461
1265 Sjöbo;Socialdemokraterna;2888;2798
1265 Sjöbo;Vänsterpartiet;68;278
1265 Sjöbo;Sverigedemokraterna;0;3544
1265 Sjöbo;övriga partier;10;353
1265 Sjöbo;ogiltiga valsedlar;15;141
1265 Sjöbo;ej röstande;978;2239
1266 Hörby;Moderaterna;805;1848
1266 Hörby;Centerpartiet;3744;853
1266 Hörby;Folkpartiet;1034;383
1266 Hörby;Kristdemokraterna;232;347
1266 Hörby;Miljöpartiet;0;458
1266 Hörby;Socialdemokraterna;1865;2367
1266 Hörby;Vänsterpartiet;65;259
1266 Hörby;Sverigedemokraterna;0;2604
1266 Hörby;övriga partier;15;384
1266 Hörby;ogiltiga valsedlar;25;133
1266 Hörby;ej röstande;802;1833
1267 Höör;Moderaterna;1022;2263
1267 Höör;Centerpartiet;2495;704
1267 Höör;Folkpartiet;598;486
1267 Höör;Kristdemokraterna;114;381
1267 Höör;Miljöpartiet;0;785
1267 Höör;Socialdemokraterna;1803;2579
1267 Höör;Vänsterpartiet;93;425
1267 Höör;Sverigedemokraterna;0;2122
1267 Höör;övriga partier;8;363
1267 Höör;ogiltiga valsedlar;20;127
1267 Höör;ej röstande;620;1602
1270 Tomelilla;Moderaterna;1237;1702
1270 Tomelilla;Centerpartiet;3270;800
1270 Tomelilla;Folkpartiet;884;251
1270 Tomelilla;Kristdemokraterna;111;193
1270 Tomelilla;Miljöpartiet;0;350
1270 Tomelilla;Socialdemokraterna;2758;2384
1270 Tomelilla;Vänsterpartiet;70;218
1270 Tomelilla;Sverigedemokraterna;0;2127
1270 Tomelilla;övriga partier;12;301
1270 Tomelilla;ogiltiga valsedlar;3;119
1270 Tomelilla;ej röstande;1194;1564
1272 Bromölla;Moderaterna;477;1231
